"","genotype","master_id","date","site","tag_id","project","attachment","geno_layout","array","frag_n","size_tle","lat","long","region","visit_1","1_month_date","n_old_dead_1","n_new_dead_1","n_missing_1","n_broken_1","per_partial_dead_old_1","per_partial_dead_new_1","snails1","disease1","bleach1","condition1","comments1","visit_12","12_month_date","n_old_dead_12","n_new_dead_12","n_missing_12","n_broken_12","per_partial_dead_old_12","per_partial_dead_new_12","snails12","disease12","bleach12","condition12","comments12","month","day","year","monitor_month_1","monitor_day_1","monitor_year_1","monitor_month_12","monitor_day_12","monitor_year_12","1_month_duration","12_month_duration","irma","alive1","propalive1","alive12","propalive12","total_n"
"1","?","42474-S-2-397-?",2016-04-14,"S-2","397","Restoration","nails/cable ties","mixed","20",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,4,0,0,0,55,"N","N","N",3,NA,12,2017-05-12,4,0,0,0,50,0,"N","N","N",3,"0",4,14,2016,7,26,2016,5,12,2017,103,393,0,1,0.2,1,0.2,110
"2","?","42474-S-2-395-?",2016-04-14,"S-2","395","Restoration","nails/cable ties","mixed","20",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,5,0,0,0,0,"N","N","N",4,NA,12,2017-05-12,5,0,0,0,0,0,"N","N","N",4,"0",4,14,2016,7,26,2016,5,12,2017,103,393,0,0,0,0,0,110
"3","?","42594-P-2-225-?",2016-08-12,"P-2","225","Restoration","nails/cable ties","mixed","23",5,"10-25",24.6214,-81.37942,"Lower Keys",1,2016-09-19,0,0,0,0,0,0,"N","N","N",1,NA,12,2017-03-09,0,0,0,0,0,0,"N","N","N",1,"0",8,12,2016,9,19,2016,3,9,2017,38,209,0,5,1,5,1,110
"4","?","42474-S-2-396-?",2016-04-14,"S-2","396","Restoration","nails/cable ties","mixed","20",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,5,0,0,0,0,"N","N","N",4,NA,12,2017-05-12,5,0,0,0,0,0,"N","N","N",4,"0",4,14,2016,7,26,2016,5,12,2017,103,393,0,0,0,0,0,110
"5","?","42474-S-2-366-?",2016-04-14,"S-2","366","Restoration","nails/cable ties","mixed","17",5,"10-25",24.55279,-81.87835,"Key West",1,2016-07-26,0,5,0,0,0,0,"N","N","N",4,NA,12,2017-05-12,5,0,0,0,0,0,"N","N","N",4,"0",4,14,2016,7,26,2016,5,12,2017,103,393,0,0,0,0,0,110
"6","?","42156-O-1-138-?",2015-06-01,"O-1","138","Restoration","nails/cable ties","mixed/grouped","14",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-26,5,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,0,0,110
"7","?","42185-S-1-30-?",2015-06-30,"S-1","30","Restoration","nails/cable ties","mixed","3",5,"10-25",24.55279,-81.87891,"Key West",1,2015-09-08,0,0,0,0,0,0,"N","N","Y",1,"PALE",12,2016-04-08,0,0,0,1,0,0,"N","N","N",1,"0",6,30,2015,9,8,2015,4,8,2016,70,283,0,5,1,5,1,110
"8","?","42156-O-1-135-?",2015-06-01,"O-1","135","Restoration","nails/cable ties","mixed/grouped","14",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-26,5,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,0,0,110
"9","?","42185-S-1-29-?",2015-06-30,"S-1","29","Restoration","nails/cable ties","mixed","3",5,"10-25",24.55279,-81.87891,"Key West",1,2015-09-08,0,0,0,0,0,0,"N","N","Y",1,"PALE",12,2016-04-08,0,0,0,0,0,0,"N","N","N",2,"BASE",6,30,2015,9,8,2015,4,8,2016,70,283,0,5,1,5,1,110
"10","?","42156-O-1-134-?",2015-06-01,"O-1","134","Restoration","nails/cable ties","mixed/grouped","14",5,"10-25",24.59536,-81.32977,"Lower Keys",1,2015-06-22,0,0,0,0,0,0,"N","N","N",1,NA,12,2016-04-26,5,0,0,0,0,0,"N","N","N",4,"0",6,1,2015,6,22,2015,4,26,2016,21,330,0,5,1,0,0,110
