"site","Lat_Y","Long_X","...1","genotype","master_id","date","tag_id","project","attachment","geno_layout","array","frag_n","size_tle","region","visit_1","1_month_date","n_old_dead_1","n_new_dead_1","n_missing_1","n_broken_1","per_partial_dead_old_1","per_partial_dead_new_1","snails1","disease1","bleach1","condition1","comments1","visit_12","12_month_date","n_old_dead_12","n_new_dead_12","n_missing_12","n_broken_12","per_partial_dead_old_12","per_partial_dead_new_12","snails12","disease12","bleach12","condition12","comments12","month","day","year","monitor_month_1","monitor_day_1","monitor_year_1","monitor_month_12","monitor_day_12","monitor_year_12","1_month_duration","12_month_duration","irma","alive1","propalive1","alive12","propalive12","total_n"
"K-1",24.6214,-81.36293,627,"20","41698-K-1-2-20",2014-02-28,"2","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,835
"K-1",24.6214,-81.36293,732,"25","41698-K-1-10-25",2014-02-28,"10","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,10
"K-1",24.6214,-81.36293,2620,"41","41698-K-1-3-41",2014-02-28,"3","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,1565
"K-1",24.6214,-81.36293,3183,"46","41698-K-1-8-46",2014-02-28,"8","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,155
"K-1",24.6214,-81.36293,3227,"47","41698-K-1-1-47",2014-02-28,"1","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,800
"K-1",24.6214,-81.36293,3402,"48","41698-K-1-7-48",2014-02-28,"7","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,615
"K-1",24.6214,-81.36293,4524,"51","41698-K-1-5-51",2014-02-28,"5","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,390
"K-1",24.6214,-81.36293,4929,"57","41698-K-1-9-57",2014-02-28,"9","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,1470
"K-1",24.6214,-81.36293,6131,"7","41698-K-1-4-7",2014-02-28,"4","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,2300
"K-1",24.6214,-81.36293,7847,"9","41698-K-1-6-9",2014-02-28,"6","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-04-30,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2014-10-16,5,0,0,0,0,0,"N","N","N",4,"0",2,28,2014,4,30,2014,10,16,2014,61,230,0,5,1,0,0,65
"L-1",24.56817,-81.32867,312,"1","41703-L-1-5-1",2014-03-05,"5","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2015-01-14,0,0,0,1,5,0,"N","N","N",1,"0",3,5,2014,5,6,2014,1,14,2015,62,315,0,5,1,5,1,1585
"L-1",24.56817,-81.32867,548,"13","41703-L-1-1-13",2014-03-05,"1","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2015-01-14,3,0,0,1,20,1,"Y","N","N",3,"0",3,5,2014,5,6,2014,1,14,2015,62,315,0,5,1,2,0.4,680
"L-1",24.56817,-81.32867,564,"2","41703-L-1-2-2",2014-03-05,"2","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2015-01-14,5,0,0,0,0,0,"N","N","N",4,"All dead",3,5,2014,5,6,2014,1,14,2015,62,315,0,5,1,0,0,5
"L-1",24.56817,-81.32867,664,"20","41703-L-1-9-20",2014-03-05,"9","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2015-01-14,5,0,0,0,0,0,"N","N","N",4,"All dead",3,5,2014,5,6,2014,1,14,2015,62,315,0,5,1,0,0,835
"L-1",24.56817,-81.32867,733,"25","41703-L-1-6-25",2014-03-05,"6","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2015-01-14,5,0,0,0,0,0,"N","N","N",4,"All dead",3,5,2014,5,6,2014,1,14,2015,62,315,0,5,1,0,0,10
"L-1",24.56817,-81.32867,908,"3","41703-L-1-10-3",2014-03-05,"10","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,1,0,0,0,10,0,"Y","N","N",1,"(2) with snails - rem. 6 total (approx. 10% base mort. On each)",12,2015-01-14,1,0,1,1,10,0,"N","N","N",1,"Base",3,5,2014,5,6,2014,1,14,2015,62,315,0,4,0.8,3,0.6,1580
"L-1",24.56817,-81.32867,2512,"4","41703-L-1-7-4",2014-03-05,"7","Restoration","nails/cable ties","mixed",1,5,"25-50","Lower Keys",1,2014-05-06,0,0,0,0,0,0,"N","N","N",1,"all OK",12,2015-01-14,3,0,1,0,65,10,"N","N","N",3,"0",3,5,2014,5,6,2014,1,14,2015,62,315,0,5,1,1,0.2,605
